id,poli,nomor_antrian,nama_pasien,nik,status,timestamp,dokter
495,Poli Lansia,POLI-136,Perkasa Rahayu,2317575956566876,done,2025-03-21 13:00:00,dr. Eka
496,Poli Umum,POLI-634,Kenes Adriansyah,5264040780546448,done,2025-05-03 13:00:00,dr. Budi
497,Poli KIA,POLI-589,"Padma Uwais, M.Kom.",8457328290239687,done,2025-04-11 18:00:00,dr. Budi
498,Poli Umum,POLI-617,Pandu Firmansyah,8498789542971148,done,2025-03-26 16:00:00,dr. Andi
499,Poli Gizi,POLI-739,"Vicky Prabowo, S.I.Kom",6970655629950059,serving,2025-02-16 14:00:00,dr. Eka
500,Poli KIA,POLI-684,"Tgk. Ibrani Pratama, S.Kom",8351255843014926,done,2025-05-03 10:00:00,dr. Eka
501,Poli Gizi,POLI-828,Wani Mangunsong,7995252827011364,done,2025-01-06 12:00:00,dr. Citra
502,Poli Umum,POLI-618,Eman Wijaya,1237201915754453,done,2025-02-04 08:00:00,dr. Eka
503,Poli Gigi,POLI-147,Emil Mahendra,5382648185499193,done,2025-04-17 17:00:00,dr. Budi
504,Poli Gigi,POLI-606,Galih Pangestu,0810220702973312,done,2025-02-21 13:00:00,dr. Fajar
505,Poli KIA,POLI-484,"Mulya Pratama, M.TI.",0901607545848004,done,2025-05-21 12:00:00,dr. Fajar
506,Poli Gizi,POLI-094,"Fitria Anggraini, M.M.",7550660346917060,done,2025-04-10 15:00:00,dr. Citra
507,Poli Lansia,POLI-887,Hana Siregar,1392441711295460,waiting,2025-03-27 18:00:00,dr. Fajar
508,Poli Lansia,POLI-394,drg. Betania Siregar,5379933500771421,done,2025-01-26 16:00:00,dr. Eka
509,Poli KB,POLI-155,dr. Wulan Nasyiah,5674332848568713,done,2025-01-02 11:00:00,dr. Andi
510,Poli Gigi,POLI-608,"Rusman Nainggolan, M.Kom.",0616783573272637,done,2025-03-04 12:00:00,dr. Budi
511,Poli Gizi,POLI-073,Fitriani Narpati,6439856268521974,done,2025-02-03 11:00:00,dr. Eka
512,Poli Gizi,POLI-176,"H. Hasan Halim, S.Farm",1706809338832634,done,2025-03-15 12:00:00,dr. Citra
513,Poli Gigi,POLI-921,Jessica Kurniawan,6156504599171096,waiting,2025-01-28 14:00:00,dr. Andi
514,Poli Umum,POLI-163,R. Anastasia Aryani,1169188200264045,serving,2025-01-16 11:00:00,dr. Citra
515,Poli Gigi,POLI-288,"dr. Ellis Wastuti, S.Pd",3393411020290288,waiting,2025-04-15 10:00:00,dr. Dina
516,Poli KB,POLI-330,Aswani Uyainah,3800191109456796,waiting,2025-05-16 15:00:00,dr. Fajar
517,Poli Gizi,POLI-408,"KH. Mursita Anggriawan, S.Pt",7919715723468639,done,2025-02-01 10:00:00,dr. Budi
518,Poli Lansia,POLI-904,Kezia Sihotang,0815842268810000,done,2025-05-17 18:00:00,dr. Fajar
519,Poli KB,POLI-427,Kalim Aryani,0962576190100279,waiting,2025-01-02 11:00:00,dr. Dina
520,Poli KIA,POLI-561,Cut Salsabila Aryani,2585458304661159,done,2025-05-13 17:00:00,dr. Fajar
521,Poli Gizi,POLI-519,T. Kajen Suryatmi,4835346015391164,done,2025-03-20 09:00:00,dr. Budi
522,Poli Gigi,POLI-485,Jane Rajasa,1458694275888246,serving,2025-04-21 14:00:00,dr. Dina
523,Poli KIA,POLI-533,"Dt. Salman Budiyanto, S.Kom",3113490817490314,serving,2025-03-23 13:00:00,dr. Citra
524,Poli Umum,POLI-819,Muhammad Utama,3059057140459033,serving,2025-03-31 16:00:00,dr. Fajar
525,Poli Lansia,POLI-128,Radit Napitupulu,2002056929486006,done,2025-01-30 09:00:00,dr. Fajar
526,Poli Gigi,POLI-002,Aditya Suartini,4837970351100073,waiting,2025-01-22 09:00:00,dr. Budi
527,Poli Gigi,POLI-923,Reza Astuti,2391834421131279,done,2025-03-25 13:00:00,dr. Budi
528,Poli Gizi,POLI-695,Ir. Jefri Prakasa,9706850779157007,done,2025-04-10 08:00:00,dr. Fajar
529,Poli Lansia,POLI-924,Icha Hutasoit,5386886060558378,done,2025-04-21 16:00:00,dr. Eka
530,Poli Umum,POLI-724,"Jagapati Najmudin, S.Sos",8039494719330739,done,2025-03-14 14:00:00,dr. Eka
531,Poli Umum,POLI-894,"Farhunnisa Prasetyo, M.M.",1922193417157442,done,2025-03-09 10:00:00,dr. Andi
532,Poli Gizi,POLI-706,dr. Eluh Putra,2932899941786968,serving,2025-01-17 13:00:00,dr. Fajar
533,Poli Gigi,POLI-772,"Cemeti Lestari, S.E.",2916972104081842,done,2025-03-28 13:00:00,dr. Dina
534,Poli KIA,POLI-987,Cahyadi Sudiati,5205177229699258,waiting,2025-02-08 15:00:00,dr. Fajar
535,Poli KB,POLI-286,"Karen Putra, M.TI.",6636394599820455,serving,2025-05-29 08:00:00,dr. Budi
536,Poli KIA,POLI-792,Gaiman Mandala,9209704624684607,serving,2025-01-13 15:00:00,dr. Budi
537,Poli KIA,POLI-278,Cut Nadia Narpati,6240329871832998,done,2025-01-25 12:00:00,dr. Fajar
538,Poli Gizi,POLI-175,"Hj. Iriana Prayoga, S.Sos",6475887902205857,done,2025-02-11 16:00:00,dr. Citra
539,Poli KIA,POLI-441,Karen Simbolon,2662875480229100,done,2025-03-17 18:00:00,dr. Budi
540,Poli Gigi,POLI-421,Zalindra Usamah,9800445041148175,waiting,2025-04-29 11:00:00,dr. Eka
541,Poli KIA,POLI-298,"Drs. Gasti Mardhiyah, S.E.I",5007359479397024,done,2025-05-07 18:00:00,dr. Dina
542,Poli Lansia,POLI-218,Dt. Wahyu Najmudin,9690682154476441,waiting,2025-05-13 15:00:00,dr. Eka
543,Poli Umum,POLI-508,"Dr. Purwanto Setiawan, M.TI.",5099399084848837,done,2025-05-09 10:00:00,dr. Dina
544,Poli Gigi,POLI-133,Sadina Yuniar,8562702268046923,done,2025-04-20 11:00:00,dr. Dina
545,Poli KB,POLI-485,Mahdi Mangunsong,3780578322368747,done,2025-01-22 14:00:00,dr. Andi
546,Poli Umum,POLI-102,"drg. Kasiyah Zulkarnain, S.Farm",9714109792581556,done,2025-05-19 16:00:00,dr. Citra
547,Poli KB,POLI-855,"Dt. Balangga Nababan, S.Psi",0697811938329496,done,2025-05-27 09:00:00,dr. Budi
548,Poli Gigi,POLI-071,"Dono Mahendra, S.Farm",8976975048483203,done,2025-02-06 18:00:00,dr. Budi
549,Poli KIA,POLI-164,Umay Gunarto,8969188106633555,done,2025-03-16 11:00:00,dr. Eka
550,Poli Lansia,POLI-310,Leo Saptono,8589647730440341,done,2025-01-31 17:00:00,dr. Citra
551,Poli Lansia,POLI-814,Uli Andriani,1788677995497434,done,2025-02-02 10:00:00,dr. Eka
552,Poli Gizi,POLI-384,Kacung Astuti,6730155904046261,done,2025-04-24 17:00:00,dr. Fajar
553,Poli KB,POLI-470,Drs. Wadi Salahudin,1999873261762430,waiting,2025-03-31 08:00:00,dr. Dina
554,Poli Gigi,POLI-849,"drg. Gatra Halim, M.M.",7334494315598519,done,2025-04-15 13:00:00,dr. Eka
555,Poli KIA,POLI-245,"Hartana Sitorus, S.Gz",5012771809845774,serving,2025-01-08 09:00:00,dr. Andi
556,Poli Umum,POLI-588,"Eluh Situmorang, S.E.I",1803582761522803,serving,2025-01-13 16:00:00,dr. Dina
557,Poli Gizi,POLI-886,Gantar Sihombing,9349300509436510,done,2025-01-20 13:00:00,dr. Fajar
558,Poli KB,POLI-606,Indra Susanti,3309315640552711,waiting,2025-04-04 09:00:00,dr. Eka
559,Poli Gigi,POLI-768,Gandi Oktaviani,8147320257702735,done,2025-05-20 15:00:00,dr. Citra
560,Poli KB,POLI-772,Bakianto Saragih,6152010693243861,done,2025-04-29 12:00:00,dr. Fajar
561,Poli KIA,POLI-495,Ajeng Rajasa,8128160725186558,done,2025-03-11 15:00:00,dr. Citra
562,Poli KB,POLI-374,"Lukman Hasanah, S.I.Kom",0298689180206569,waiting,2025-01-11 08:00:00,dr. Fajar
563,Poli Gigi,POLI-602,Eka Padmasari,2960593699316754,done,2025-01-10 12:00:00,dr. Eka
564,Poli Gizi,POLI-704,Aurora Yuliarti,7169109643501254,done,2025-02-21 14:00:00,dr. Andi
565,Poli Gizi,POLI-338,Hani Nababan,8108813403328605,waiting,2025-05-03 09:00:00,dr. Andi
566,Poli Umum,POLI-429,"Elisa Budiyanto, M.Farm",9676008109807121,done,2025-03-11 15:00:00,dr. Budi
567,Poli Gigi,POLI-428,R. Jasmin Anggraini,6481667180034777,done,2025-03-27 14:00:00,dr. Dina
568,Poli KIA,POLI-130,Kamila Nuraini,5630415040619702,waiting,2025-01-19 11:00:00,dr. Fajar
569,Poli KIA,POLI-309,Jagaraga Siregar,2951367051027056,done,2025-03-24 18:00:00,dr. Eka
570,Poli Lansia,POLI-400,R.M. Muhammad Simbolon,9593267584270474,done,2025-03-14 13:00:00,dr. Citra
571,Poli KIA,POLI-756,Ghaliyati Mulyani,4686962798613374,done,2025-05-07 17:00:00,dr. Eka
572,Poli KB,POLI-354,Sutan Timbul Santoso,1816465846041663,waiting,2025-05-15 14:00:00,dr. Andi
573,Poli Lansia,POLI-763,"R. Laras Situmorang, S.Sos",1972088690049414,waiting,2025-01-10 12:00:00,dr. Dina
574,Poli Gigi,POLI-571,Kawaca Wasita,2504859798464791,done,2025-05-13 18:00:00,dr. Citra
575,Poli Lansia,POLI-118,"R. Jail Pangestu, S.Pt",0623928376266780,done,2025-05-18 16:00:00,dr. Fajar
576,Poli Lansia,POLI-188,Saadat Kurniawan,3859606720961243,done,2025-04-17 14:00:00,dr. Citra
577,Poli Gigi,POLI-894,Lukman Farida,9523334168757881,serving,2025-03-21 15:00:00,dr. Budi
578,Poli KB,POLI-920,Ina Najmudin,2375008339816627,done,2025-03-09 12:00:00,dr. Fajar
579,Poli Gizi,POLI-531,Hasan Simbolon,1710769294831193,done,2025-05-26 11:00:00,dr. Citra
580,Poli Lansia,POLI-547,Rahmi Mustofa,5718983123196616,waiting,2025-01-25 18:00:00,dr. Fajar
581,Poli KIA,POLI-356,Ikhsan Situmorang,5558664134678432,done,2025-01-24 10:00:00,dr. Fajar
582,Poli KB,POLI-371,Rosman Haryanti,4548676128392055,waiting,2025-04-15 17:00:00,dr. Eka
583,Poli KIA,POLI-302,Artanto Napitupulu,9816261641790342,waiting,2025-04-26 08:00:00,dr. Eka
584,Poli Gigi,POLI-849,Amalia Wastuti,4565631413473613,done,2025-01-27 11:00:00,dr. Eka
585,Poli Lansia,POLI-393,"Ir. Melinda Nasyidah, S.E.",6022145991266340,serving,2025-05-17 12:00:00,dr. Budi
586,Poli Gigi,POLI-228,Karta Halimah,2290754463764125,done,2025-04-03 11:00:00,dr. Budi
587,Poli KIA,POLI-848,Umar Waluyo,7736418544281963,done,2025-01-18 15:00:00,dr. Eka
588,Poli KIA,POLI-739,"Saiful Uwais, M.M.",6421131644783174,serving,2025-02-23 16:00:00,dr. Fajar
589,Poli Lansia,POLI-033,Banara Suryatmi,4575391407249525,done,2025-01-27 08:00:00,dr. Eka
590,Poli Gizi,POLI-237,Ir. Wira Nurdiyanti,8414972154006354,done,2025-03-24 16:00:00,dr. Fajar
591,Poli Gigi,POLI-665,Wulan Kuswoyo,7007753337781474,waiting,2025-01-25 08:00:00,dr. Fajar
592,Poli KB,POLI-040,"Imam Kusmawati, M.TI.",0667636733748147,serving,2025-01-20 13:00:00,dr. Budi
593,Poli Gizi,POLI-954,"H. Wakiman Megantara, M.M.",6067024872470078,done,2025-01-24 17:00:00,dr. Andi
594,Poli Gigi,POLI-357,"Syahrini Hutagalung, S.E.I",7606793377570651,done,2025-02-09 17:00:00,dr. Eka
595,Poli Gigi,POLI-256,Umaya Zulkarnain,6076177900062804,serving,2025-02-05 12:00:00,dr. Fajar
596,Poli Gizi,POLI-196,Pia Firmansyah,3036415516216912,waiting,2025-02-06 16:00:00,dr. Budi
597,Poli Gizi,POLI-541,"Alambana Siregar, M.Pd",4211572520626759,done,2025-01-11 16:00:00,dr. Eka
598,Poli KIA,POLI-317,"Ir. Bakti Palastri, S.H.",7858531383425801,done,2025-04-22 09:00:00,dr. Dina
599,Poli Umum,POLI-282,Olivia Marbun,1461328128251616,done,2025-03-16 09:00:00,dr. Andi
600,Poli Lansia,POLI-952,R. Ratih Prayoga,4051114848586276,done,2025-04-30 09:00:00,dr. Citra
601,Poli Lansia,POLI-699,Tasnim Habibi,4117988064317914,waiting,2025-03-18 11:00:00,dr. Dina
602,Poli Gigi,POLI-460,"drg. Tomi Najmudin, S.E.",0819443577451570,done,2025-02-13 14:00:00,dr. Eka
603,Poli Gigi,POLI-374,Anita Samosir,0286676321084477,waiting,2025-03-30 13:00:00,dr. Dina
604,Poli Gigi,POLI-134,Cahya Haryanto,2890466904718164,done,2025-02-12 12:00:00,dr. Citra
605,Poli KB,POLI-071,"Tgk. Bagus Hariyah, S.Sos",2201041254336477,done,2025-04-06 11:00:00,dr. Andi
606,Poli Lansia,POLI-184,Drs. Zelda Zulkarnain,8045768214438399,done,2025-03-08 12:00:00,dr. Eka
607,Poli Gizi,POLI-095,Halima Situmorang,1164874161461739,waiting,2025-02-12 18:00:00,dr. Fajar
608,Poli Umum,POLI-783,"drg. Balapati Situmorang, M.TI.",1743637863563403,serving,2025-05-04 16:00:00,dr. Fajar
609,Poli KB,POLI-266,Unggul Putra,0780305034779268,done,2025-01-12 12:00:00,dr. Budi
610,Poli Umum,POLI-285,Halima Puspita,1576214613190455,serving,2025-03-17 18:00:00,dr. Andi
611,Poli Lansia,POLI-449,"Fitriani Manullang, M.Farm",9365448115773668,done,2025-02-04 15:00:00,dr. Andi
612,Poli Umum,POLI-486,Aditya Habibi,0279842923319462,waiting,2025-02-21 13:00:00,dr. Fajar
613,Poli KB,POLI-493,Bala Pertiwi,4942158773540801,done,2025-01-27 11:00:00,dr. Andi
614,Poli KB,POLI-918,Ghani Manullang,6030230622191856,waiting,2025-02-17 08:00:00,dr. Fajar
615,Poli KIA,POLI-295,"Usyi Riyanti, M.TI.",4020808075558800,waiting,2025-02-21 08:00:00,dr. Budi
616,Poli KB,POLI-014,Dadi Hakim,9430591330572981,done,2025-04-02 12:00:00,dr. Citra
617,Poli Lansia,POLI-423,"Karsana Wijayanti, M.TI.",2443924816822568,done,2025-04-23 11:00:00,dr. Dina
618,Poli KB,POLI-565,"R.A. Zizi Pratama, S.Farm",5227895165028210,serving,2025-05-08 16:00:00,dr. Dina
619,Poli KIA,POLI-991,Ciaobella Mardhiyah,8552656789844497,done,2025-01-10 09:00:00,dr. Citra
620,Poli KIA,POLI-688,Nugraha Habibi,2920252714697368,serving,2025-03-15 10:00:00,dr. Citra
621,Poli Gigi,POLI-931,Puput Nurdiyanti,9771876126792479,done,2025-03-01 15:00:00,dr. Citra
622,Poli Gigi,POLI-811,"Sakura Narpati, M.M.",9413816844591228,done,2025-03-27 10:00:00,dr. Fajar
623,Poli KIA,POLI-004,Ella Permata,3378578012820472,waiting,2025-02-25 17:00:00,dr. Citra
624,Poli KIA,POLI-273,"Sutan Galak Waskita, S.Pd",7167187203678219,done,2025-04-03 16:00:00,dr. Dina
625,Poli KIA,POLI-686,Widya Samosir,7402025957568342,done,2025-03-31 18:00:00,dr. Andi
626,Poli Gizi,POLI-610,Cakrajiya Waluyo,4364251588881905,done,2025-05-21 09:00:00,dr. Fajar
627,Poli Umum,POLI-979,Dodo Nashiruddin,2548248169096854,done,2025-01-03 12:00:00,dr. Andi
628,Poli Gigi,POLI-051,Calista Nurdiyanti,1936371157258113,done,2025-03-15 08:00:00,dr. Eka
629,Poli Umum,POLI-251,"Empluk Safitri, S.Psi",8696689517428966,done,2025-03-22 14:00:00,dr. Budi
630,Poli Gigi,POLI-728,Aswani Lazuardi,9191459979526736,done,2025-02-11 11:00:00,dr. Budi
631,Poli Gigi,POLI-314,Shakila Mahendra,6054558736858069,done,2025-02-15 10:00:00,dr. Budi
632,Poli Gizi,POLI-581,"Yulia Nurdiyanti, S.Gz",6939555347206423,serving,2025-04-10 14:00:00,dr. Dina
633,Poli Lansia,POLI-133,Luwar Rahmawati,9523063877353987,done,2025-01-27 12:00:00,dr. Fajar
634,Poli Gigi,POLI-791,Sabrina Gunarto,4226408594781799,done,2025-04-29 15:00:00,dr. Citra
635,Poli Gigi,POLI-064,Diah Kusmawati,9226871342999347,done,2025-04-01 10:00:00,dr. Citra
636,Poli Lansia,POLI-518,"R.M. Banawa Pradipta, S.Pd",2706117389134996,serving,2025-04-21 09:00:00,dr. Fajar
637,Poli Gigi,POLI-074,Kiandra Tampubolon,3356619820631483,serving,2025-01-08 08:00:00,dr. Fajar
638,Poli Umum,POLI-902,Perkasa Namaga,5085204532240756,done,2025-03-08 16:00:00,dr. Fajar
639,Poli KB,POLI-071,Tgk. Nurul Anggriawan,8387695376858203,done,2025-05-26 15:00:00,dr. Dina
640,Poli Gizi,POLI-086,Dalima Halimah,3643260765541823,done,2025-01-30 12:00:00,dr. Budi
641,Poli Gizi,POLI-228,Catur Maheswara,6257375483132739,done,2025-03-03 16:00:00,dr. Dina
642,Poli Lansia,POLI-514,T. Kunthara Pangestu,2933757627514975,done,2025-03-08 13:00:00,dr. Fajar
643,Poli Gigi,POLI-334,Fitriani Purnawati,6884814403481954,done,2025-01-08 18:00:00,dr. Eka
644,Poli Gizi,POLI-724,Naradi Rajasa,0359848583274152,done,2025-03-16 13:00:00,dr. Citra
645,Poli Gizi,POLI-660,KH. Warta Wijaya,2413153463940006,done,2025-02-13 17:00:00,dr. Budi
646,Poli Umum,POLI-477,Kania Hartati,1217730166865100,done,2025-03-02 09:00:00,dr. Dina
647,Poli KB,POLI-873,Drs. Ratih Hidayanto,7584603005725504,done,2025-01-10 12:00:00,dr. Eka
648,Poli Umum,POLI-950,"Novi Rajasa, S.Kom",1668240915710648,done,2025-04-19 11:00:00,dr. Budi
649,Poli KB,POLI-161,Maman Pratama,2229199440114122,done,2025-05-19 11:00:00,dr. Dina
650,Poli KB,POLI-864,Alika Halimah,9895841446802345,done,2025-01-31 17:00:00,dr. Citra
651,Poli Gizi,POLI-976,Lanjar Januar,5934624900412753,done,2025-02-21 10:00:00,dr. Fajar
652,Poli Gizi,POLI-761,Atmaja Hastuti,5688127550889475,done,2025-03-20 16:00:00,dr. Eka
653,Poli KIA,POLI-029,Darman Pratiwi,1773616747522584,done,2025-02-15 11:00:00,dr. Andi
654,Poli Lansia,POLI-798,Jabal Samosir,0865933021555014,serving,2025-03-31 09:00:00,dr. Andi
655,Poli Lansia,POLI-407,"Padma Siregar, S.H.",5500058461809607,waiting,2025-05-14 17:00:00,dr. Eka
656,Poli Gigi,POLI-925,Mulya Hutapea,1584180194112312,done,2025-02-20 11:00:00,dr. Citra
657,Poli Gizi,POLI-060,Devi Saputra,3553524686222226,serving,2025-04-25 13:00:00,dr. Dina
658,Poli Lansia,POLI-467,Rahman Hidayanto,3635282498702795,done,2025-01-25 08:00:00,dr. Citra
659,Poli KIA,POLI-379,Kacung Zulkarnain,7295236732744248,done,2025-05-03 08:00:00,dr. Citra
660,Poli KIA,POLI-634,Salsabila Sitorus,1662090268774386,waiting,2025-01-31 17:00:00,dr. Eka
661,Poli KIA,POLI-399,Luwar Megantara,9619517330895237,done,2025-04-26 10:00:00,dr. Fajar
662,Poli Umum,POLI-477,"Dr. Nasrullah Firmansyah, M.M.",1718587393306239,done,2025-03-31 09:00:00,dr. Citra
663,Poli Umum,POLI-110,Citra Halim,2042247052218333,serving,2025-03-14 15:00:00,dr. Fajar
664,Poli Umum,POLI-441,"Warta Firmansyah, S.T.",3676952388547438,waiting,2025-04-19 18:00:00,dr. Fajar
665,Poli KIA,POLI-339,Estiono Usada,6196445913187528,done,2025-02-23 09:00:00,dr. Citra
666,Poli Umum,POLI-941,"T. Dono Widiastuti, S.E.I",4601012852042204,done,2025-04-29 14:00:00,dr. Fajar
667,Poli KB,POLI-249,"Jessica Prasetya, S.H.",6351079961243196,waiting,2025-03-13 15:00:00,dr. Citra
668,Poli Gizi,POLI-331,Slamet Saputra,7862359913945463,done,2025-05-26 14:00:00,dr. Budi
669,Poli Lansia,POLI-340,Makara Najmudin,1929104769022555,done,2025-01-08 09:00:00,dr. Budi
670,Poli Gigi,POLI-493,Hj. Aisyah Hutasoit,1877324940825855,serving,2025-03-12 16:00:00,dr. Andi
671,Poli Lansia,POLI-159,Drs. Kawaya Maryati,1435347162041234,done,2025-04-20 11:00:00,dr. Budi
672,Poli Gizi,POLI-016,Vanya Waluyo,9924382942262266,done,2025-03-19 15:00:00,dr. Citra
673,Poli KIA,POLI-343,Dewi Hutasoit,6239862394416813,done,2025-05-19 11:00:00,dr. Budi
674,Poli Lansia,POLI-767,Galiono Uyainah,5997111160704863,waiting,2025-03-01 12:00:00,dr. Budi
675,Poli Umum,POLI-743,R. Prima Hastuti,8882942100072554,serving,2025-03-09 15:00:00,dr. Budi
676,Poli KIA,POLI-104,"Drajat Pradana, S.T.",9259893912693582,done,2025-04-20 15:00:00,dr. Dina
677,Poli Umum,POLI-377,Cemeti Winarno,6319377653684888,waiting,2025-04-06 15:00:00,dr. Fajar
678,Poli KB,POLI-819,Hasna Pradana,5869144031678507,done,2025-05-09 08:00:00,dr. Eka
679,Poli KB,POLI-720,"Lasmono Winarno, S.T.",8693365830365758,done,2025-04-28 16:00:00,dr. Andi
680,Poli Lansia,POLI-140,"Eka Wahyuni, S.Kom",0882500122158112,done,2025-03-22 12:00:00,dr. Citra
681,Poli Gigi,POLI-516,drg. Eva Prastuti,0263742395128979,done,2025-03-16 12:00:00,dr. Andi
682,Poli KB,POLI-393,Sutan Bagya Rahimah,7060990840259817,done,2025-04-27 16:00:00,dr. Andi
683,Poli Lansia,POLI-347,"Lukman Ramadan, S.IP",4160639259556390,done,2025-02-22 14:00:00,dr. Andi
684,Poli KB,POLI-714,Uchita Saragih,4560475518740291,waiting,2025-01-20 11:00:00,dr. Andi
685,Poli Lansia,POLI-166,Tgk. Hendra Fujiati,6692396752824450,done,2025-02-10 13:00:00,dr. Dina
686,Poli KIA,POLI-854,Garda Marpaung,2592249580887283,done,2025-03-03 13:00:00,dr. Dina
687,Poli Umum,POLI-144,Patricia Lailasari,1679124867829758,done,2025-02-14 15:00:00,dr. Andi
688,Poli Lansia,POLI-955,Karimah Andriani,6833063276254107,serving,2025-05-08 12:00:00,dr. Andi
689,Poli Gizi,POLI-025,"Sutan Karya Nuraini, S.H.",1673395954040976,done,2025-02-08 16:00:00,dr. Fajar
690,Poli Gizi,POLI-882,Sidiq Sitompul,4367089609700976,done,2025-03-26 09:00:00,dr. Fajar
691,Poli KB,POLI-168,Kusuma Waskita,1401379915150592,done,2025-04-30 09:00:00,dr. Fajar
692,Poli KIA,POLI-981,dr. Margana Dongoran,7109232742296316,done,2025-01-27 11:00:00,dr. Citra
693,Poli KB,POLI-095,Juli Sitompul,6806582255640603,done,2025-03-28 16:00:00,dr. Eka
694,Poli Gigi,POLI-636,Uda Simbolon,8445228947947144,done,2025-02-04 15:00:00,dr. Andi
695,Poli Gigi,POLI-761,"dr. Jail Gunawan, M.Pd",4652547220971740,waiting,2025-04-23 17:00:00,dr. Andi
696,Poli Gizi,POLI-313,"dr. Karman Wulandari, S.E.I",8481045823276463,serving,2025-01-25 12:00:00,dr. Dina
697,Poli Umum,POLI-687,Paramita Kuswandari,5102787968526639,done,2025-03-15 18:00:00,dr. Fajar
698,Poli Gigi,POLI-400,Rudi Ramadan,1357665791742003,done,2025-05-08 11:00:00,dr. Budi
699,Poli Umum,POLI-797,R. Ibun Irawan,4232272941205815,serving,2025-04-07 17:00:00,dr. Andi
700,Poli KIA,POLI-633,Balijan Namaga,0688894908480889,done,2025-05-18 14:00:00,dr. Budi
701,Poli Umum,POLI-319,"Ir. Rama Marpaung, M.Kom.",8241280399574388,serving,2025-02-15 15:00:00,dr. Citra
702,Poli Lansia,POLI-209,"T. Laksana Wastuti, S.Kom",0209363886937683,done,2025-05-08 08:00:00,dr. Andi
703,Poli Umum,POLI-016,Faizah Jailani,1786210021505044,waiting,2025-02-03 18:00:00,dr. Dina
704,Poli Umum,POLI-711,Jane Mulyani,9538280640313266,waiting,2025-05-04 14:00:00,dr. Dina
705,Poli KB,POLI-638,Kemal Nurdiyanti,4111064899191193,waiting,2025-04-11 11:00:00,dr. Dina
706,Poli Gigi,POLI-645,Halima Haryanti,8499913852587625,done,2025-02-18 11:00:00,dr. Andi
707,Poli Gizi,POLI-322,Paulin Haryanto,4413635861671861,done,2025-04-29 09:00:00,dr. Eka
708,Poli Gigi,POLI-171,Satya Hutagalung,1315084193967437,done,2025-05-06 14:00:00,dr. Citra
709,Poli Gizi,POLI-695,Zulfa Hutasoit,0976348952781856,done,2025-03-30 09:00:00,dr. Eka
710,Poli KIA,POLI-505,Tgk. Darman Astuti,8088867075672546,serving,2025-02-07 16:00:00,dr. Dina
711,Poli Umum,POLI-420,Restu Mandasari,5704984615807123,done,2025-04-29 12:00:00,dr. Andi
712,Poli KB,POLI-825,R.A. Rahmi Hakim,8642496012183107,done,2025-01-25 18:00:00,dr. Eka
713,Poli KB,POLI-075,Ir. Najwa Nasyidah,7791747004997877,waiting,2025-01-22 10:00:00,dr. Eka
714,Poli Gizi,POLI-674,"Cut Kezia Mandasari, S.E.",2611172189676636,done,2025-05-06 13:00:00,dr. Fajar
715,Poli KB,POLI-357,Gilda Palastri,4737148057717586,done,2025-03-15 14:00:00,dr. Budi
716,Poli Lansia,POLI-612,Bakiono Prabowo,2906035883114645,done,2025-03-26 09:00:00,dr. Andi
717,Poli Lansia,POLI-041,"dr. Oman Rahayu, M.Pd",0579337247177653,serving,2025-01-19 10:00:00,dr. Andi
718,Poli Gizi,POLI-908,Dr. Dodo Mangunsong,4766975998051599,waiting,2025-04-04 15:00:00,dr. Andi
719,Poli KIA,POLI-224,R.A. Mila Usamah,9017816770519314,serving,2025-04-07 14:00:00,dr. Andi
720,Poli Lansia,POLI-091,Kamaria Setiawan,5707573985204378,done,2025-03-11 10:00:00,dr. Fajar
721,Poli Gizi,POLI-139,Nasab Jailani,7901943129004732,done,2025-05-03 11:00:00,dr. Citra
722,Poli KIA,POLI-392,"Wardaya Namaga, S.E.I",9077175713470057,done,2025-03-20 11:00:00,dr. Fajar
723,Poli Gizi,POLI-810,"Cut Zulaikha Adriansyah, S.E.",9595102806408752,done,2025-02-27 17:00:00,dr. Dina
724,Poli Gizi,POLI-942,"Ir. Janet Melani, M.Ak",0371796762024718,serving,2025-03-04 18:00:00,dr. Andi
725,Poli Gizi,POLI-980,Uli Pertiwi,2640368501413068,waiting,2025-05-28 16:00:00,dr. Citra
726,Poli KB,POLI-504,"Sutan Digdaya Nashiruddin, M.Kom.",4729006363185872,done,2025-04-23 13:00:00,dr. Fajar
727,Poli Umum,POLI-213,Yuni Sirait,0100217633839282,done,2025-01-25 14:00:00,dr. Citra
728,Poli KIA,POLI-409,Rahmi Pangestu,0606057973153055,waiting,2025-05-17 17:00:00,dr. Dina
729,Poli Umum,POLI-149,Marsudi Sudiati,2857955451849448,done,2025-02-25 17:00:00,dr. Andi
730,Poli KIA,POLI-047,Drs. Kariman Latupono,7774705791940082,done,2025-02-23 11:00:00,dr. Dina
731,Poli Gigi,POLI-862,"R.M. Kemba Saefullah, M.Kom.",8502480635087184,waiting,2025-03-27 09:00:00,dr. Budi
732,Poli Lansia,POLI-834,"Paris Pangestu, S.Sos",8345366213431124,serving,2025-05-20 18:00:00,dr. Fajar
733,Poli Umum,POLI-480,Gabriella Haryanti,8876799751790327,done,2025-02-11 15:00:00,dr. Andi
734,Poli KB,POLI-599,Prakosa Mayasari,8975408071883452,done,2025-04-20 12:00:00,dr. Dina
